row_id,article,reference_summary,generated_summary,rouge_1_f1,rouge_2_f1,rouge_l_f1,bleu_like
1962,The company reported a clinical study after several months of internal review and consultation with stakeholders. Officials said the decision is expected to help with strengthening compliance over the next few quarters. Additional commentary noted that implementation will happen in phases and that teams will monitor risks closely.,company reported a clinical study to support strengthening compliance.,company reported a clinical study to support improving outcomes,0.7777777777777778,0.75,0.7777777777777778,0.7637626158259734
435,The hospital expanded a funding round after several months of internal review and consultation with stakeholders. Officials said the decision is expected to help with improving operations over the next few quarters. Additional commentary noted that implementation will happen in phases and that teams will monitor risks closely.,hospital expanded a funding round to support improving operations.,hospital expanded a funding round to support reducing costs,0.7777777777777778,0.75,0.7777777777777778,0.7637626158259734
1926,The energy provider launched a safety update after several months of internal review and consultation with stakeholders. Officials said the decision is expected to help with expanding access over the next few quarters. Additional commentary noted that implementation will happen in phases and that teams will monitor risks closely.,energy provider launched a safety update to support expanding access.,energy provider launched a safety update to support improving operations,0.8000000000000002,0.7777777777777778,0.8000000000000002,0.7888106377466155
1102,The research team launched a new policy after several months of internal review and consultation with stakeholders. Officials said the decision is expected to help with strengthening compliance over the next few quarters. Additional commentary noted that implementation will happen in phases and that teams will monitor risks closely.,research team launched a new policy to support strengthening compliance.,research team launched a new policy to support improving outcomes,0.8000000000000002,0.7777777777777778,0.8000000000000002,0.7888106377466155
1706,The startup investigated a service disruption after several months of internal review and consultation with stakeholders. Officials said the decision is expected to help with improving operations over the next few quarters. Additional commentary noted that implementation will happen in phases and that teams will monitor risks closely.,startup investigated a service disruption to support improving operations.,startup investigated a service disruption to support reducing costs,0.7777777777777778,0.75,0.7777777777777778,0.7637626158259734
1135,The startup expanded a technology roadmap after several months of internal review and consultation with stakeholders. Officials said the decision is expected to help with strengthening compliance over the next few quarters. Additional commentary noted that implementation will happen in phases and that teams will monitor risks closely.,startup expanded a technology roadmap to support strengthening compliance.,startup expanded a technology roadmap to support boosting efficiency,0.7777777777777778,0.75,0.7777777777777778,0.7637626158259734
1278,The energy provider announced a product release after several months of internal review and consultation with stakeholders. Officials said the decision is expected to help with supporting citizens over the next few quarters. Additional commentary noted that implementation will happen in phases and that teams will monitor risks closely.,energy provider announced a product release to support supporting citizens.,energy provider announced a product release to support reducing costs,0.8000000000000002,0.7777777777777778,0.8000000000000002,0.7888106377466155
1968,The hospital launched a clinical study after several months of internal review and consultation with stakeholders. Officials said the decision is expected to help with improving outcomes over the next few quarters. Additional commentary noted that implementation will happen in phases and that teams will monitor risks closely.,hospital launched a clinical study to support improving outcomes.,hospital launched a clinical study to support improving outcomes,1.0,1.0,1.0,1.0
18,The hospital reported a sustainability plan after several months of internal review and consultation with stakeholders. Officials said the decision is expected to help with expanding access over the next few quarters. Additional commentary noted that implementation will happen in phases and that teams will monitor risks closely.,hospital reported a sustainability plan to support expanding access.,hospital reported a sustainability plan to support improving operations,0.7777777777777778,0.75,0.7777777777777778,0.7637626158259734
1783,The university approved a new policy after several months of internal review and consultation with stakeholders. Officials said the decision is expected to help with expanding access over the next few quarters. Additional commentary noted that implementation will happen in phases and that teams will monitor risks closely.,university approved a new policy to support expanding access.,university approved a new policy to support reducing costs,0.7777777777777778,0.75,0.7777777777777778,0.7637626158259734
