input_text,target_text
hello,hi there
how are you,i am doing well
what is your name,i am your virtual assistant
can you help me,yes i can help you
tell me about the project,the project is moving forward on schedule
what time is the meeting,the meeting is scheduled for tomorrow morning
i need support,i can guide you through the next steps
thank you,you are welcome
good morning,good morning how can i help
goodbye,goodbye have a nice day
what is the status,the current status looks stable
can you summarize this,yes i can provide a short summary
i am confused,let me explain it more clearly
what should i do next,you should review the latest update
is the report ready,the report is almost ready
do we have a deadline,yes the deadline is next week
can you explain the issue,the issue is related to missing information
what do you recommend,i recommend starting with the most urgent task
how can i improve,focus on consistency and practice
are you available,yes i am available now
