statement,label_name,display_label,target,fake_probability,predicted_target,predicted_label,confidence,correct,error_type,split
"More than 1,000 American soldiers have lost their lives in Afghanistan in the last 27 months. This is more than the combined total of the nine years before.",false,Fake,1,0.05215131863951683,0,Real,0.9478486813604832,False,false_negative_fake_as_real,test
"""I brought down crime more than anyone in this country -- maybe in the history of this country -- while I was mayor of New York City."" -",barely-true,Fake,1,0.058518387377262115,0,Real,0.9414816126227379,False,false_negative_fake_as_real,test
"While (Charlie Crist) was governor, utility costs went up 30 percent and went from below the national average to above the national average. Since I got elected, utility rates have come down 11 percent and now we are below the average.",false,Fake,1,0.0702892318367958,0,Real,0.9297107681632042,False,false_negative_fake_as_real,test
"Texas high school graduation rate went from 27th in the country in 2002, to second highest in the country in 2013.",barely-true,Fake,1,0.07801738381385803,0,Real,0.921982616186142,False,false_negative_fake_as_real,test
Wisconsin dropped from second in the country to 41st among states where more than half the students took the ACT exam.,pants-fire,Fake,1,0.09195821732282639,0,Real,0.9080417826771736,False,false_negative_fake_as_real,test
"The United States can immediately tap a domestic energy resource of more than 1.5 trillion barrels of oil, six times more than Saudi Arabia.",barely-true,Fake,1,0.09291986376047134,0,Real,0.9070801362395287,False,false_negative_fake_as_real,test
"Everywhere that we have more citizens carrying guns, crime is less. Theres a study showing that where states have open carry or concealed carry, but particularly open carry, the crime is down 25 percent.",barely-true,Fake,1,0.09654531627893448,0,Real,0.9034546837210655,False,false_negative_fake_as_real,test
"In countries where there are higher, more strict gun laws, there is more gun violence.",false,Fake,1,0.09979847818613052,0,Real,0.9002015218138695,False,false_negative_fake_as_real,test
"When it comes to jobless workers, Mitt Romney says he likes to fire people.",false,Fake,1,0.10322415083646774,0,Real,0.8967758491635323,False,false_negative_fake_as_real,test
Eliminating affirmative action in admissions in Florida led to more African American and Hispanic kids attending our university system than before.,barely-true,Fake,1,0.10600810497999191,0,Real,0.8939918950200081,False,false_negative_fake_as_real,test
"The big Wall Street banks, the big corporations give many times more political donations to Democrats than Republicans.",false,Fake,1,0.10728032141923904,0,Real,0.892719678580761,False,false_negative_fake_as_real,test
"The departments of Commerce, Education and Energy and the EPA saw their spending increase by between 130 percent and 219 percent between 2008 and 2010.",false,Fake,1,0.11785371601581573,0,Real,0.8821462839841843,False,false_negative_fake_as_real,test
"Says New START, passed while Clinton was secretary of state, is a treaty cutting Russias nuclear arms.",half-true,Real,0,0.8809610605239868,1,Fake,0.8809610605239868,False,false_positive_real_as_fake,test
Says One of the states largest governments made charging this tax one of their top priorities just this year.,pants-fire,Fake,1,0.11995638906955719,0,Real,0.8800436109304428,False,false_negative_fake_as_real,test
Virtually every person across this country has seen premiums going up and up and up due to Obamacare.,false,Fake,1,0.1206824779510498,0,Real,0.8793175220489502,False,false_negative_fake_as_real,test
"Under a Wisconsin bill, minor offenses such as violating pet leash laws, seat belt laws, parking infractions, etc., would now be arrestable offenses.",half-true,Real,0,0.8768259882926941,1,Fake,0.8768259882926941,False,false_positive_real_as_fake,test
Says Joe Heck voted to shut down the government.,half-true,Real,0,0.8757184147834778,1,Fake,0.8757184147834778,False,false_positive_real_as_fake,test
"Of the roughly 15 percent of Americans who dont have health insurance, half of them made more than $50,000 a year.",false,Fake,1,0.12433288991451263,0,Real,0.8756671100854874,False,false_negative_fake_as_real,test
"""We're going to have more troops (in Afghanistan) . . . than the Russians had.""",barely-true,Fake,1,0.12474825978279114,0,Real,0.8752517402172089,False,false_negative_fake_as_real,test
Says Rick Scott stripped women of access to public health care.,half-true,Real,0,0.8741941452026367,1,Fake,0.8741941452026367,False,false_positive_real_as_fake,test
"Says 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture, including food stamps.",false,Fake,1,0.1305643916130066,0,Real,0.8694356083869934,False,false_negative_fake_as_real,test
Muslim nations did not call out the people who celebrated the 9/11 attacks.,half-true,Real,0,0.8693758249282837,1,Fake,0.8693758249282837,False,false_positive_real_as_fake,test
